frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 0, 0.000, 0.98, 1, -4.7, -189.4, 1074.5, 0.122, 0.054, -0.036
2, 0, 0.120, 0.98, 1, -14.1, -186.6, 1066.2, 0.120, 0.045, -0.039
3, 0, 0.241, 0.98, 1, -20.2, -185.3, 1066.5, 0.125, 0.034, -0.033
4, 0, 0.361, 0.98, 1, -20.3, -185.5, 1074.9, 0.141, 0.032, -0.037
5, 0, 0.481, 0.98, 1, -11.7, -178.1, 1077.5, 0.221, 0.067, -0.046
6, 0, 0.602, 0.77, 1, -3.1, -176.1, 1102.1, 0.283, 0.022, -0.012
7, 0, 0.722, 0.98, 1, 30.9, -162.9, 1076.0, 0.349, 0.133, -0.095
8, 0, 0.842, 0.82, 1, 39.6, -157.3, 1054.6, 0.367, 0.124, -0.078
9, 0, 0.963, 0.98, 1, 61.4, -153.9, 1087.6, 0.371, 0.162, -0.127
10, 0, 1.083, 0.98, 1, 66.0, -144.8, 1088.0, 0.470, 0.183, -0.153
11, 0, 1.203, 0.98, 1, 68.2, -136.4, 1094.2, 0.540, 0.180, -0.156
12, 0, 1.324, 0.98, 1, 69.9, -130.9, 1093.4, 0.538, 0.149, -0.131
13, 0, 1.444, 0.98, 1, 71.7, -128.5, 1103.9, 0.484, 0.100, -0.117
14, 0, 1.564, 0.98, 1, 63.3, -125.1, 1116.5, 0.472, 0.092, -0.111
15, 0, 1.685, 0.98, 1, 55.6, -119.8, 1108.0, 0.459, 0.088, -0.067
16, 0, 1.805, 0.77, 1, 59.0, -122.1, 1127.2, 0.465, 0.103, -0.044
17, 0, 1.925, 0.88, 1, 55.7, -121.6, 1110.0, 0.427, 0.152, -0.050
18, 0, 2.046, 0.88, 1, 47.9, -120.6, 1104.5, 0.391, 0.164, -0.062
19, 0, 2.166, 0.93, 1, 38.5, -120.5, 1076.9, 0.402, 0.166, -0.085
20, 0, 2.286, 0.98, 1, 42.9, -129.5, 1108.7, 0.386, 0.092, -0.105
