frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 0, 0.000, 0.98, 1, -0.1, -222.7, 1066.7, 0.074, -0.045, -0.043
2, 0, 0.100, 0.98, 1, 0.2, -222.0, 1060.4, 0.071, -0.040, -0.050
3, 0, 0.200, 0.98, 1, -0.1, -222.0, 1059.6, 0.072, -0.040, -0.053
4, 0, 0.300, 0.98, 1, -0.1, -222.0, 1058.7, 0.074, -0.039, -0.054
5, 0, 0.400, 0.98, 1, 0.2, -222.0, 1059.3, 0.076, -0.043, -0.057
6, 0, 0.500, 0.98, 1, 0.9, -222.4, 1062.7, 0.066, -0.047, -0.065
7, 0, 0.600, 0.98, 1, 0.5, -222.1, 1060.6, 0.047, -0.053, -0.088
8, 0, 0.700, 0.98, 1, -1.7, -219.6, 1062.4, 0.077, -0.050, -0.111
9, 0, 0.800, 0.98, 1, -6.8, -214.6, 1069.9, 0.141, -0.036, -0.136
10, 0, 0.900, 0.98, 1, -3.6, -208.9, 1052.9, 0.173, -0.072, -0.128
11, 0, 1.000, 0.88, 1, 7.3, -202.2, 1031.7, 0.223, -0.131, -0.094
12, 0, 1.100, 0.98, 1, 15.8, -208.6, 1087.3, 0.310, -0.213, -0.040
13, 0, 1.200, 0.98, 1, 18.4, -196.6, 1061.0, 0.359, -0.193, -0.088
14, 0, 1.300, 0.98, 1, 17.3, -189.4, 1054.5, 0.403, -0.187, -0.109
15, 0, 1.400, 0.98, 1, 21.1, -180.9, 1040.3, 0.428, -0.195, -0.118
16, 0, 1.500, 0.98, 1, 25.7, -173.6, 1027.7, 0.450, -0.228, -0.108
17, 0, 1.600, 0.98, 1, 27.3, -166.5, 1010.3, 0.453, -0.244, -0.105
18, 0, 1.700, 0.98, 1, 27.6, -168.7, 1016.6, 0.409, -0.244, -0.115
19, 0, 1.800, 0.82, 1, 27.5, -177.4, 1016.1, 0.479, -0.256, -0.128
20, 0, 1.900, 0.98, 1, 24.7, -199.9, 1018.7, 0.200, -0.213, -0.108
21, 0, 2.000, 0.98, 1, 22.8, -222.4, 1039.1, 0.065, -0.159, -0.094
22, 0, 2.100, 0.98, 1, 21.0, -232.9, 1054.9, -0.061, -0.085, -0.095
23, 0, 2.200, 0.98, 1, 17.6, -240.5, 1060.8, -0.178, -0.028, -0.078
24, 0, 2.300, 0.98, 1, 15.4, -243.4, 1064.2, -0.222, 0.000, -0.070
25, 0, 2.400, 0.98, 1, 14.1, -245.2, 1071.3, -0.220, 0.021, -0.063
26, 0, 2.500, 0.98, 1, 14.6, -244.9, 1074.6, -0.212, 0.020, -0.058
27, 0, 2.600, 0.98, 1, 14.3, -246.1, 1084.7, -0.212, 0.018, -0.053
28, 0, 2.700, 0.98, 1, 13.3, -245.5, 1091.9, -0.207, 0.023, -0.051
29, 0, 2.800, 0.98, 1, 11.2, -241.1, 1088.3, -0.152, 0.031, -0.055
30, 0, 2.900, 0.98, 1, 9.1, -235.4, 1082.9, -0.077, 0.033, -0.064
31, 0, 3.000, 0.98, 1, 5.3, -223.4, 1067.6, 0.021, 0.017, -0.085
32, 0, 3.100, 0.98, 1, 3.2, -214.4, 1061.4, 0.095, -0.035, -0.099
33, 0, 3.200, 0.98, 1, 12.7, -204.1, 1054.1, 0.229, -0.095, -0.113
34, 0, 3.300, 0.98, 1, 22.3, -198.9, 1049.2, 0.280, -0.130, -0.105
35, 0, 3.400, 0.98, 1, 29.6, -188.1, 1030.7, 0.347, -0.185, -0.098
36, 0, 3.500, 0.98, 1, 33.0, -178.4, 1019.2, 0.400, -0.174, -0.128
37, 0, 3.600, 0.98, 1, 40.2, -165.1, 999.0, 0.437, -0.186, -0.130
