frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1,  -4.4,  -239.4,  1154.5,  0.201,  0.616,  -0.059, 0.00, 0.00, 1.33, 0.00, 0.00, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 1.97, 0.86, 2.18, 0.00, 1.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.040,  0.98,  1,  -8.2,  -231.1,  1134.7,  0.239,  0.623,  -0.091, 0.00, 0.00, 1.49, 0.19, 0.00, 0.03, 0.00, 0.26, 0.00, 0.00, 0.00, 1.81, 0.49, 2.31, 0.00, 2.26, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.080,  0.98,  1,  -11.1,  -227.0,  1127.3,  0.257,  0.612,  -0.102, 0.00, 0.00, 1.64, 0.22, 0.00, 0.15, 0.03, 0.56, 0.03, 0.00, 0.00, 1.52, 0.29, 2.23, 0.02, 2.65, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
4,  0,  0.120,  0.88,  1,  -14.5,  -229.6,  1139.9,  0.236,  0.592,  -0.095, 0.00, 0.00, 1.65, 0.14, 0.00, 0.15, 0.03, 1.02, 0.19, 0.00, 0.00, 1.24, 0.09, 1.80, 0.25, 2.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.160,  0.88,  1,  -19.4,  -232.6,  1149.5,  0.199,  0.604,  -0.074, 0.00, 0.00, 1.44, 0.04, 0.00, 0.22, 0.03, 1.27, 0.28, 0.00, 0.00, 1.17, 0.09, 1.42, 0.64, 1.42, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.200,  0.88,  1,  -24.3,  -238.3,  1170.5,  0.177,  0.593,  -0.060, 0.00, 0.00, 1.24, 0.00, 0.00, 0.32, 0.00, 1.11, 0.26, 0.00, 0.00, 1.07, 0.00, 1.16, 0.66, 0.67, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.240,  0.88,  1,  -29.6,  -243.3,  1189.8,  0.156,  0.582,  -0.048, 0.00, 0.00, 1.07, 0.00, 0.00, 0.46, 0.00, 0.60, 0.09, 0.00, 0.00, 0.83, 0.00, 1.16, 0.43, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.280,  0.88,  1,  -35.1,  -248.3,  1209.8,  0.170,  0.569,  -0.055, 0.01, 0.00, 1.01, 0.00, 0.00, 0.46, 0.00, 0.26, 0.00, 0.00, 0.00, 0.56, 0.00, 1.24, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.320,  0.88,  1,  -40.7,  -251.3,  1221.9,  0.195,  0.561,  -0.073, 0.13, 0.00, 0.95, 0.00, 0.00, 0.36, 0.00, 0.08, 0.00, 0.00, 0.00, 0.56, 0.00, 1.42, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.360,  0.88,  1,  -46.8,  -251.4,  1219.7,  0.161,  0.553,  -0.063, 0.13, 0.00, 1.03, 0.00, 0.00, 0.22, 0.00, 0.34, 0.00, 0.00, 0.00, 0.75, 0.00, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.400,  0.98,  1,  -51.7,  -245.7,  1190.9,  0.138,  0.584,  -0.028, 0.12, 0.00, 1.05, 0.00, 0.00, 0.12, 0.00, 0.52, 0.00, 0.00, 0.00, 0.95, 0.00, 1.59, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.440,  0.88,  1,  -55.3,  -241.7,  1175.2,  0.163,  0.606,  -0.019, 0.00, 0.00, 1.13, 0.00, 0.00, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 1.18, 0.03, 1.55, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.480,  0.88,  1,  -58.5,  -239.6,  1166.6,  0.173,  0.609,  -0.015, 0.00, 0.00, 1.16, 0.00, 0.00, 0.03, 0.00, 0.57, 0.10, 0.00, 0.00, 1.21, 0.03, 1.54, 0.00, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.520,  0.88,  1,  -61.5,  -239.9,  1169.2,  0.178,  0.596,  -0.009, 0.00, 0.00, 1.20, 0.00, 0.00, 0.04, 0.00, 0.81, 0.21, 0.00, 0.00, 1.35, 0.03, 1.51, 0.14, 0.55, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.560,  0.88,  1,  -63.4,  -241.3,  1177.5,  0.167,  0.572,  -0.003, 0.09, 0.00, 0.93, 0.00, 0.00, 0.09, 0.00, 1.07, 0.30, 0.00, 0.00, 1.00, 0.00, 1.54, 0.29, 0.55, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.600,  0.98,  1,  -64.6,  -241.9,  1179.1,  0.137,  0.552,  0.003, 0.58, 0.33, 0.84, 0.00, 0.00, 0.06, 0.00, 1.30, 0.30, 0.00, 0.11, 0.72, 0.00, 1.35, 0.40, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
